ingredient,ingredient_norm,total fat,total carbohydrate,calcium,cholesterol,saturated fat,protein,iron
#cakeweek,#cakeweek,,,,,,,
#wasteless,#wasteless,,,,,,,
cod,cod,3.77,1.92,2.69,10.67,2.95,24.8,4.72
coffee,coffee,30.51,7.78,3.69,35.67,71.5,4.76,0.0
coffee grinder,coffee grinder,0.03,0.0,0.15,0.0,0.01,0.24,0.06
cognac/armagnac,cognac/armagnac,,,,,,,
collard greens,collard greens,0.0,2.14,9.08,0.0,0.0,4.7,0.0
colorado,colorado,4.44,8.62,1.15,,2.51,7.92,6.78
columbus,columbus,27.44,1.3,0.0,29.67,35.7,50.0,7.17
condiment,condiment,0.0,22.51,0.0,0.0,0.0,0.0,28.56
condiment/spread,condiment/spread,,,,,,,
connecticut,connecticut,0.42,4.33,1.54,0.0,0.0,1.32,2.94
cook like a diner,cook like a diner,49.62,2.08,0.31,,23.85,0.0,0.0
cookbook critic,cookbook critic,2.29,1.3,11.0,23.67,0.0,39.2,80.56
cookbooks,cookbooks,,,,,,,
cookie,cookie,22.31,17.38,10.0,,43.5,43.4,8.72
cookies,cookies,17.05,24.87,,0.0,0.0,14.74,
coriander,coriander,22.82,20.0,54.54,0.0,4.95,24.8,90.56
corn,corn,0.0,4.65,0.23,0.0,0.0,1.6,0.0
cornmeal,cornmeal,3.13,28.36,0.0,0.0,0.0,14.64,13.56
costa mesa,costa mesa,0.0,0.0,,,,0.0,
cottage cheese,cottage cheese,5.67,1.29,6.77,7.33,15.5,23.0,0.0
couscous,couscous,0.0,28.29,2.54,0.0,0.0,26.6,12.33
crab,crab,0.95,0.0,7.0,32.33,1.0,35.76,2.78
cranberry,cranberry,0.0,4.55,,,,0.0,0.83
cranberry sauce,cranberry sauce,0.19,14.69,0.23,0.0,0.03,1.8,2.28
cream cheese,cream cheese,41.15,2.6,7.38,35.67,107.0,14.28,0.0
créme de cacao,créme de cacao,2.03,5.62,4.31,1.67,4.17,3.48,0.56
crêpe,crêpe,10.26,10.18,,,2.65,8.0,
cr��me de cacao,cr��me de cacao,2.03,5.62,4.31,1.67,4.17,3.48,0.56
cuba,cuba,41.15,1.3,54.92,35.67,107.0,42.8,0.0
cucumber,cucumber,0.17,2.47,1.08,0.0,0.14,1.0,0.39
cumin,cumin,28.59,16.07,71.62,0.0,7.7,35.6,368.89
cupcake,cupcake,21.15,17.96,1.85,17.67,17.65,7.06,4.72
currant,currant,0.28,27.99,6.77,0.0,0.43,6.86,10.44
curry,curry,0.0,0.0,,,,0.0,
custard,custard,4.67,3.99,9.0,26.67,8.24,10.16,1.67
dairy,dairy,4.27,1.67,8.0,5.0,10.4,6.66,0.0
dairy free,dairy free,11.88,6.63,9.0,0.0,35.21,1.74,1.44
dallas,dallas,0.0,0.0,,0.0,0.0,,
deep-fry,deep-fry,128.21,0.0,0.0,0.0,50.5,0.0,0.0
denver,denver,15.9,0.19,0.85,23.33,25.7,37.6,13.17
dessert,dessert,19.29,8.17,6.31,14.67,44.1,12.02,0.11
digestif,digestif,0.0,2.72,0.0,0.0,0.0,0.0,0.0
dill,dill,0.55,0.72,4.15,,,0.96,1.28
dinner,dinner,10.77,3.98,1.15,13.67,19.39,13.64,4.67
dip,dip,10.33,2.35,5.0,0.0,8.05,0.0,0.0
diwali,diwali,8.82,5.24,5.31,8.33,21.9,5.0,0.0
dominican republic,dominican republic,35.64,21.2,12.38,0.0,83.5,22.2,15.44
dorie greenspan,dorie greenspan,0.0,26.8,,,,14.04,
double boiler,double boiler,0.0,5.13,1.85,,,2.36,0.0
dried fruit,dried fruit,0.79,28.59,3.0,0.0,0.52,4.56,7.22
drink,drink,0.0,4.55,,0.0,,0.0,
drinks,drinks,0.0,4.29,,0.0,0.0,0.56,
duck,duck,0.17,22.06,0.85,0.0,0.25,0.72,2.17
easter,easter,0.0,,0.0,0.0,0.0,0.0,0.0
eau de vie,eau de vie,2.03,5.62,4.31,1.67,4.17,3.48,0.56
edible gift,edible gift,0.26,2.75,3.31,0.0,0.19,5.6,11.56
egg,egg,36.92,20.98,9.85,10.67,80.0,12.82,0.0
egg nog,egg nog,9.62,6.65,10.46,18.0,20.85,8.34,1.67
eggplant,eggplant,19.21,2.96,2.69,0.0,10.94,9.6,9.39
egypt,egypt,0.0,28.29,0.0,0.0,0.0,13.34,4.44
emeril lagasse,emeril lagasse,0.0,0.0,,,,0.0,
endive,endive,0.26,1.22,4.0,0.0,0.24,2.5,4.61
engagement party,engagement party,68.72,5.2,5.46,0.0,44.65,57.2,7.17
england,england,6.15,3.36,1.46,5.33,12.53,6.24,2.67
entertaining,entertaining,17.05,29.09,0.0,0.0,33.35,6.66,3.72
epi + ushg,epi + ushg,0.0,15.64,0.0,0.0,0.0,15.18,12.67
epi loves the microwave,epi loves the microwave,33.21,1.54,12.54,51.0,34.65,59.0,14.61
escarole,escarole,0.0,1.28,3.62,0.0,0.0,2.36,
fall,fall,34.23,21.82,5.15,0.0,41.65,13.34,20.0
family reunion,family reunion,15.13,4.51,2.62,2.67,9.55,1.76,1.67
fat free,fat free,0.0,5.75,0.46,0.0,0.0,0.4,0.56
father's day,father's day,,,,,,,
fennel,fennel,4.13,3.03,4.31,0.67,4.43,2.84,4.67
feta,feta,36.67,3.89,,,125.0,0.0,
fig,fig,0.0,23.64,1.15,0.0,0.0,0.0,0.0
fish,fish,20.77,7.89,1.23,9.33,18.65,22.0,4.67
flaming hot summer,flaming hot summer,11.46,2.5,4.85,33.67,22.24,9.3,4.39
flat bread,flat bread,0.95,0.0,0.23,23.67,0.94,44.4,27.78
florida,florida,12.95,2.84,0.77,0.0,9.8,4.46,0.94
fontina,fontina,39.92,0.56,42.31,38.67,95.98,51.2,1.28
food processor,food processor,8.85,24.11,4.15,0.0,6.1,33.8,26.22
fortified wine,fortified wine,0.0,0.59,0.54,0.0,0.0,0.08,1.22
fourth of july,fourth of july,41.15,2.6,11.0,12.0,35.7,7.14,7.17
france,france,0.0,0.89,,,,0.14,
frangelico,frangelico,26.41,1.38,0.85,13.67,16.3,24.0,2.17
frankenrecipe,frankenrecipe,,,,,,,
freeze/chill,freeze/chill,,,,,,,
freezer food,freezer food,0.31,6.99,0.0,0.0,0.07,0.0,3.0
friendsgiving,friendsgiving,41.15,20.76,0.0,0.0,44.65,7.14,3.94
frittata,frittata,23.33,7.6,5.62,44.0,40.9,16.36,11.11
fritter,fritter,34.79,12.2,4.92,22.33,28.05,14.74,12.5
frozen dessert,frozen dessert,11.88,6.63,9.0,0.0,35.21,1.74,1.44
fruit,fruit,1.41,4.36,6.15,1.33,2.94,4.64,1.06
fruit juice,fruit juice,0.0,4.95,0.0,0.0,0.0,0.0,1.72
fry,fry,72.0,2.65,0.77,10.67,43.91,1.96,1.33
game,game,2.6,0.0,0.23,31.67,3.7,44.8,17.72
garlic,garlic,0.0,12.11,51.31,,,0.0,
georgia,georgia,8.1,6.62,1.08,0.67,3.5,7.72,10.5
germany,germany,76.92,9.71,0.0,0.0,266.5,13.34,13.33
gin,gin,0.0,0.0,0.0,0.0,0.0,0.0,0.22
ginger,ginger,0.0,0.0,,0.0,,0.0,
goat cheese,goat cheese,41.15,0.0,54.92,32.0,107.0,50.0,0.0
goose,goose,127.95,0.0,0.0,33.33,138.5,0.0,0.0
gouda,gouda,41.15,0.0,54.92,35.67,107.0,50.0,0.0
gourmet,gourmet,6.94,2.63,7.31,11.67,13.9,21.34,3.17
graduation,graduation,0.0,2.67,5.46,0.0,0.0,0.0,0.0
grains,grains,2.09,27.6,1.85,0.0,0.99,20.6,14.61
grand marnier,grand marnier,0.0,21.38,0.92,0.0,0.0,0.0,0.0
granola,granola,,,,,,,
grape,grape,0.0,4.8,,,,0.0,
grapefruit,grapefruit,0.0,3.93,,,,0.0,
grappa,grappa,,,,,,,
green bean,green bean,0.0,1.5,1.31,0.0,0.0,0.0,1.67
green onion/scallion,green onion/scallion,,,,,,,
grill,grill,3.71,1.47,0.62,10.67,3.78,30.6,2.67
grill/barbecue,grill/barbecue,,,,,,,
ground beef,ground beef,34.36,0.0,1.38,28.33,53.5,34.0,8.94
ground lamb,ground lamb,26.28,0.0,0.0,25.33,44.65,34.0,8.94
guam,guam,0.0,1.21,0.0,0.0,0.0,0.0,0.0
guava,guava,0.26,4.07,1.54,0.0,0.2,1.2,3.06
haiti,haiti,0.0,30.11,0.0,0.0,0.0,13.8,0.0
